,name,party,state,district,context,le,eg
518,Ron Marlenee,republican,Montana,2,candidate,"[{'year': 1978, 'le': 0.34752161}, {'year': 1980, 'le': 1.102104778}, {'year': 1984, 'le': 1.001229764}, {'year': 1986, 'le': 1.31389761}, {'year': 1988, 'le': 0.540948093}, {'year': 1990, 'le': 0.26485169}]","[{'year': 1978, 'eg': 0.3627726160635216}, {'year': 1980, 'eg': 0.318735021091595}, {'year': 1984, 'eg': 0.18154834054020533}, {'year': 1986, 'eg': 0.43066508148307414}, {'year': 1988, 'eg': 0.3895085852313512}, {'year': 1990, 'eg': 0.24078256782515603}]"
519,Douglas K. Bereuter,republican,Nebraska,1,candidate,"[{'year': 1978, 'le': 0.075548176}]","[{'year': 1978, 'eg': 0.3373629083394002}]"
520,Frank Thompson Jr.,democrat,New Jersey,4,candidate,"[{'year': 1978, 'le': 5.136599983}]","[{'year': 1978, 'eg': 0.2581185726129368}]"
521,Millicent H. Fenwick,republican,New Jersey,5,candidate,"[{'year': 1978, 'le': 0.146779313}]","[{'year': 1978, 'eg': 0.04892795667173219}]"
522,Peter W. Rodino Jr.,democrat,New Jersey,10,candidate,"[{'year': 1978, 'le': 11.30360567}, {'year': 1980, 'le': 12.408702900000002}, {'year': 1984, 'le': 6.986218942000001}, {'year': 1986, 'le': 5.746471405}]","[{'year': 1978, 'eg': -0.23705254245260832}, {'year': 1980, 'eg': -0.22132892599025156}, {'year': 1984, 'eg': -0.17338818857366348}, {'year': 1986, 'eg': -0.4593363896141274}]"
523,James A. Courter,republican,New Jersey,13,candidate,"[{'year': 1978, 'le': 0.043170386}]","[{'year': 1978, 'eg': 0.4631678838970149}]"
524,Frank J. Guarini,democrat,New Jersey,14,candidate,"[{'year': 1978, 'le': 0.317302339}, {'year': 1980, 'le': 2.166661861}, {'year': 1982, 'le': 1.967782497}, {'year': 1984, 'le': 1.710049154}, {'year': 1986, 'le': 0.6863562459999999}, {'year': 1988, 'le': 0.48450788899999997}, {'year': 1990, 'le': 1.006140997}]","[{'year': 1978, 'eg': 0.06662236567305867}, {'year': 1980, 'eg': 0.19491950967360802}, {'year': 1982, 'eg': -0.019430358750770104}, {'year': 1984, 'eg': 0.1755394739094951}, {'year': 1986, 'eg': 0.06029990249806677}, {'year': 1988, 'eg': 0.13282180782180783}, {'year': 1990, 'eg': 0.12962615507293962}]"
525,Manuel Lujan Jr.,republican,New Mexico,1,candidate,"[{'year': 1978, 'le': 2.588341752}, {'year': 1980, 'le': 2.989599205}, {'year': 1984, 'le': 0.21351198600000001}, {'year': 1986, 'le': 0.396445751}]","[{'year': 1978, 'eg': 0.2494492575568218}, {'year': 1980, 'eg': 0.4797174378983279}, {'year': 1984, 'eg': 0.19043186686254499}, {'year': 1986, 'eg': 0.0821032342986085}]"
526,William Carney,republican,New York,1,candidate,"[{'year': 1978, 'le': 0.393728733}, {'year': 1980, 'le': 0.036873075}, {'year': 1982, 'le': 0.572951555}, {'year': 1984, 'le': 0.030807574}]","[{'year': 1978, 'eg': 0.44753564205637814}, {'year': 1980, 'eg': 0.4705750026896707}, {'year': 1982, 'eg': 0.33198208968200493}, {'year': 1984, 'eg': 0.459306478817343}]"
527,Jerome A. Ambro,democrat,New York,3,candidate,"[{'year': 1978, 'le': 1.6768536090000001}]","[{'year': 1978, 'eg': 0.3845027763755679}]"
528,Lester Wolff,democrat,New York,6,candidate,"[{'year': 1978, 'le': 0.425228305}]","[{'year': 1978, 'eg': 0.2738882367799355}]"
529,Geraldine A. Ferraro,democrat,New York,9,candidate,"[{'year': 1978, 'le': 0.043170386}]","[{'year': 1978, 'eg': 0.2968814288879277}]"
530,S. William Green,republican,New York,18,candidate,"[{'year': 1978, 'le': 0.437559188}]","[{'year': 1978, 'eg': 0.4165274144583162}]"
531,Ted S. Weiss,democrat,New York,20,candidate,"[{'year': 1978, 'le': 0.871729195}]","[{'year': 1978, 'eg': -0.10300779603876949}]"
532,Robert Garcia,democrat,New York,21,candidate,"[{'year': 1978, 'le': 0.5295316760000001}, {'year': 1980, 'le': 0.6404706960000001}, {'year': 1982, 'le': 0.187491849}, {'year': 1984, 'le': 1.849451583}, {'year': 1986, 'le': 0.602406681}, {'year': 1988, 'le': 0.071709201}]","[{'year': 1978, 'eg': -0.2817497648165569}, {'year': 1980, 'eg': -0.3500824226143232}, {'year': 1982, 'eg': -0.31822280799112096}, {'year': 1984, 'eg': -0.25044639149572295}, {'year': 1986, 'eg': -0.30583780985049513}, {'year': 1988, 'eg': -0.31339753336712284}]"
533,Peter A. Peyser,democrat,New York,23,candidate,"[{'year': 1978, 'le': 0.11871856199999999}, {'year': 1980, 'le': 0.18436537600000003}]","[{'year': 1978, 'eg': 0.3655850418442585}, {'year': 1980, 'eg': 0.29752163650668767}]"
534,Hamilton Fish Jr.,republican,New York,25,candidate,"[{'year': 1978, 'le': 0.276290472}, {'year': 1980, 'le': 0.33923229200000005}, {'year': 1984, 'le': 0.993360175}, {'year': 1986, 'le': 1.365733981}, {'year': 1990, 'le': 0.134333136}]","[{'year': 1978, 'eg': -0.06933932970730143}, {'year': 1980, 'eg': -0.00558569572858562}, {'year': 1984, 'eg': 0.026171284264928277}, {'year': 1986, 'eg': 0.042763330509681625}, {'year': 1990, 'eg': 0.20203505393413398}]"
535,Gerald B. H. Solomon,republican,New York,29,candidate,"[{'year': 1978, 'le': 0.346402142}, {'year': 1980, 'le': 0.611691279}, {'year': 1988, 'le': 0.928356409}, {'year': 1990, 'le': 0.8108680979999999}, {'year': 1992, 'le': 0.8147549620000001}, {'year': 1994, 'le': 2.8255724910000004}, {'year': 1996, 'le': 4.330459118}]","[{'year': 1978, 'eg': 0.4453976973559219}, {'year': 1980, 'eg': 0.22404487396857692}, {'year': 1988, 'eg': 0.1353674840876081}, {'year': 1990, 'eg': 0.31196913019983524}, {'year': 1992, 'eg': 0.324208424723019}, {'year': 1994, 'eg': 0.19131945035672326}, {'year': 1996, 'eg': 0.40491132230223403}]"
