,name,party,state,district,context,le,eg
489,Andrew Jacobs Jr.,democrat,Indiana,11,candidate,"[{'year': 1978, 'le': 0.570419692}, {'year': 1980, 'le': 1.628919257}, {'year': 1984, 'le': 0.6192322339999999}, {'year': 1986, 'le': 0.809684217}, {'year': 1990, 'le': 1.898863815}]","[{'year': 1978, 'eg': -0.3539291331986858}, {'year': 1980, 'eg': -0.35492723018712236}, {'year': 1984, 'eg': -0.31620313770825553}, {'year': 1986, 'eg': -0.33424802376516793}, {'year': 1990, 'eg': -0.17137562134257886}]"
490,Jim Leach,republican,Iowa,1,candidate,"[{'year': 1978, 'le': 0.263339356}, {'year': 1980, 'le': 0.219465725}, {'year': 1982, 'le': 0.19373156100000002}, {'year': 1984, 'le': 0.316116706}, {'year': 1986, 'le': 0.194018722}, {'year': 1988, 'le': 0.260026634}, {'year': 1990, 'le': 0.21731996399999998}]","[{'year': 1978, 'eg': 0.22290103608431583}, {'year': 1980, 'eg': 0.20810769252946745}, {'year': 1982, 'eg': 0.3159136260918978}, {'year': 1984, 'eg': 0.16464944649446495}, {'year': 1986, 'eg': 0.17247850181540225}, {'year': 1988, 'eg': 0.27672898404014734}, {'year': 1990, 'eg': 0.0}]"
491,Thomas J. Tauke,republican,Iowa,2,candidate,"[{'year': 1978, 'le': 0.174840064}, {'year': 1988, 'le': 0.477085859}]","[{'year': 1978, 'eg': 0.4482436069018118}, {'year': 1988, 'eg': 0.3645077759059393}]"
492,James E. Jeffries,republican,Kansas,2,candidate,"[{'year': 1978, 'le': 0.015109635}]","[{'year': 1978, 'eg': 0.45943599833876864}]"
493,Larry Winn Jr.,republican,Kansas,3,candidate,"[{'year': 1978, 'le': 0.056121502000000004}, {'year': 1980, 'le': 0.17344530800000002}]","[{'year': 1978, 'eg': 0.0}, {'year': 1980, 'eg': 0.36359022766257626}]"
494,"Robert """"Bob"""" Whittaker",republican,Kansas,5,candidate,"[{'year': 1978, 'le': 0.036694828}]","[{'year': 1978, 'eg': 0.34341297109427854}]"
495,Carroll Hubbard,democrat,Kentucky,1,candidate,"[{'year': 1978, 'le': 0.034536309}]","[{'year': 1978, 'eg': 0.0}]"
496,William Natcher,democrat,Kentucky,2,candidate,"[{'year': 1978, 'le': 1.186157702}]","[{'year': 1978, 'eg': 0.0}]"
497,M. Gene Snyder,republican,Kentucky,4,candidate,"[{'year': 1978, 'le': 0.06475557900000001}]","[{'year': 1978, 'eg': 0.18319918556930614}]"
498,Larry J. Hopkins,republican,Kentucky,6,candidate,"[{'year': 1978, 'le': 0.021585193}, {'year': 1980, 'le': 0.049164099999999995}, {'year': 1982, 'le': 0.075618692}, {'year': 1984, 'le': 0.182510421}, {'year': 1986, 'le': 0.582518518}, {'year': 1988, 'le': 0.5229882}, {'year': 1990, 'le': 0.054329990999999994}]","[{'year': 1978, 'eg': 0.45474299269860097}, {'year': 1980, 'eg': 0.31624229967997947}, {'year': 1982, 'eg': 0.34564639415088066}, {'year': 1984, 'eg': 0.06598798473247962}, {'year': 1986, 'eg': 0.014888871497886993}, {'year': 1988, 'eg': 0.020544879703001544}, {'year': 1990, 'eg': 0.0}]"
499,Bob Livingston,republican,Louisiana,1,candidate,"[{'year': 1978, 'le': 0.492836848}, {'year': 1990, 'le': 0.067912489}, {'year': 1992, 'le': 0.10967855300000001}, {'year': 1994, 'le': 7.375003815}, {'year': 1996, 'le': 3.8669581410000005}, {'year': 1998, 'le': 0.015421115}]","[{'year': 1978, 'eg': 0.0}, {'year': 1990, 'eg': 0.0}, {'year': 1992, 'eg': 0.0}, {'year': 1994, 'eg': 0.0}, {'year': 1996, 'eg': 0.0}, {'year': 1998, 'eg': 0.0}]"
500,"Claude """"Buddy"""" Leach",democrat,Louisiana,4,candidate,"[{'year': 1978, 'le': 0.010792597}]","[{'year': 1978, 'eg': -0.4979755538579068}]"
501,John Breaux,democrat,Louisiana,7,candidate,"[{'year': 1978, 'le': 2.1070758169999997}, {'year': 1980, 'le': 8.584772723}]","[{'year': 1978, 'eg': 0.0}, {'year': 1980, 'eg': 0.0}]"
502,Olympia J. Snowe,republican,Maine,2,candidate,"[{'year': 1978, 'le': 0.164618061}, {'year': 1980, 'le': 0.11307743099999999}, {'year': 1982, 'le': 0.237389386}, {'year': 1984, 'le': 0.39597835299999995}, {'year': 1986, 'le': 0.7356482740000001}, {'year': 1988, 'le': 0.803838313}, {'year': 1990, 'le': 1.21634617}, {'year': 1992, 'le': 0.69143511}]","[{'year': 1978, 'eg': 0.4003276755838347}, {'year': 1980, 'eg': -0.07014167312422089}, {'year': 1982, 'eg': 0.167012773293629}, {'year': 1984, 'eg': -0.03125430995417164}, {'year': 1986, 'eg': -0.04655218116706601}, {'year': 1988, 'eg': 0.17601030385286542}, {'year': 1990, 'eg': 0.4794358591660308}, {'year': 1992, 'eg': 0.4287262428837021}]"
503,Beverly B. Byron,democrat,Maryland,6,candidate,"[{'year': 1978, 'le': 0.249197415}, {'year': 1980, 'le': 0.07374615}, {'year': 1982, 'le': 0.295853913}, {'year': 1984, 'le': 0.704798906}, {'year': 1986, 'le': 2.761938334}, {'year': 1988, 'le': 0.7113056179999999}, {'year': 1990, 'le': 1.961313289}]","[{'year': 1978, 'eg': 0.29330117023468644}, {'year': 1980, 'eg': -0.10200273665878841}, {'year': 1982, 'eg': -0.012213867761044687}, {'year': 1984, 'eg': -0.19739550891565757}, {'year': 1986, 'eg': -0.055504120638260566}, {'year': 1988, 'eg': 0.007156059489969767}, {'year': 1990, 'eg': -0.19308078855817548}]"
504,Michael D. Barnes,democrat,Maryland,8,candidate,"[{'year': 1978, 'le': 0.525214637}, {'year': 1980, 'le': 0.588848391}, {'year': 1982, 'le': 1.240041375}, {'year': 1984, 'le': 0.167300625}]","[{'year': 1978, 'eg': -0.47467712234902104}, {'year': 1980, 'eg': -0.3134061449831973}, {'year': 1982, 'eg': -0.0731553691019564}, {'year': 1984, 'eg': -0.06306148824090914}]"
505,Silvio Conte,republican,Massachusetts,1,candidate,"[{'year': 1978, 'le': 0.47271573}]","[{'year': 1978, 'eg': 0.0}]"
506,James M. Shannon,democrat,Massachusetts,5,candidate,"[{'year': 1978, 'le': 0.695864499}, {'year': 1980, 'le': 0.739010938}, {'year': 1982, 'le': 2.321820974}]","[{'year': 1978, 'eg': -0.2598461903741581}, {'year': 1980, 'eg': -0.18064016669801902}, {'year': 1982, 'eg': 0.0}]"
507,Nicholas Mavroules,democrat,Massachusetts,6,candidate,"[{'year': 1978, 'le': 0.023743712}, {'year': 1980, 'le': 0.115535636}, {'year': 1982, 'le': 0.218353868}, {'year': 1984, 'le': 0.6401030010000001}, {'year': 1986, 'le': 2.43904829}, {'year': 1988, 'le': 0.5956341620000001}, {'year': 1990, 'le': 0.291355742}]","[{'year': 1978, 'eg': -0.4247861828448061}, {'year': 1980, 'eg': -0.46260096598968337}, {'year': 1982, 'eg': -0.3434405454259667}, {'year': 1984, 'eg': -0.060615733844080304}, {'year': 1986, 'eg': 0.0}, {'year': 1988, 'eg': -0.1061583819153399}, {'year': 1990, 'eg': -0.21786214414318783}]"
508,Thomas P. O'Neill Jr.,democrat,Massachusetts,8,candidate,"[{'year': 1978, 'le': 0.0}, {'year': 1980, 'le': 0.0}, {'year': 1984, 'le': 0.0}]","[{'year': 1978, 'eg': 0.03745764197242346}, {'year': 1980, 'eg': 0.06772625667700066}, {'year': 1984, 'eg': 0.0}]"
509,John J. Moakley,democrat,Massachusetts,9,candidate,"[{'year': 1978, 'le': 0.618030968}]","[{'year': 1978, 'eg': 0.0}]"
510,Margaret Heckler,republican,Massachusetts,10,candidate,"[{'year': 1978, 'le': 0.705321855}]","[{'year': 1978, 'eg': 0.27712225303521265}]"
511,Brian J. Donnelly,democrat,Massachusetts,11,candidate,"[{'year': 1978, 'le': 1.024527043}, {'year': 1980, 'le': 0.554559522}, {'year': 1982, 'le': 0.34643477200000006}, {'year': 1984, 'le': 0.203329987}, {'year': 1986, 'le': 0.588256836}, {'year': 1988, 'le': 2.6988151069999997}, {'year': 1990, 'le': 0.79050201}]","[{'year': 1978, 'eg': 0.0}, {'year': 1980, 'eg': 0.0}, {'year': 1982, 'eg': 0.0}, {'year': 1984, 'eg': 0.0}, {'year': 1986, 'eg': 0.0}, {'year': 1988, 'eg': 0.11629235956340363}, {'year': 1990, 'eg': 0.0}]"
512,John Conyers,democrat,Michigan,1,candidate,"[{'year': 1978, 'le': 0.609447008}]","[{'year': 1978, 'eg': 0.35745809419223834}]"
513,Howard Wolpe,democrat,Michigan,3,candidate,"[{'year': 1978, 'le': 0.012951116}, {'year': 1980, 'le': 0.10638829400000001}, {'year': 1982, 'le': 0.259599447}, {'year': 1984, 'le': 0.064695905}, {'year': 1986, 'le': 0.435447276}, {'year': 1988, 'le': 1.12274909}, {'year': 1990, 'le': 0.095077484}]","[{'year': 1978, 'eg': -0.4733410800562657}, {'year': 1980, 'eg': -0.45176023623133743}, {'year': 1982, 'eg': -0.36318990933990847}, {'year': 1984, 'eg': -0.44140857949349976}, {'year': 1986, 'eg': -0.2926303680981595}, {'year': 1988, 'eg': -0.3531635900700191}, {'year': 1990, 'eg': -0.3429103167357258}]"
514,Guy Vander Jagt,republican,Michigan,9,candidate,"[{'year': 1978, 'le': 0.424037479}, {'year': 1980, 'le': 0.629477501}, {'year': 1982, 'le': 1.2234445809999999}, {'year': 1984, 'le': 0.39621639799999997}, {'year': 1986, 'le': 0.269729942}, {'year': 1988, 'le': 0.421650112}, {'year': 1990, 'le': 0.948073658}]","[{'year': 1978, 'eg': 0.10805146201491306}, {'year': 1980, 'eg': 0.0}, {'year': 1982, 'eg': 0.20265626531518285}, {'year': 1984, 'eg': 0.07871760531942389}, {'year': 1986, 'eg': 0.2115961429706571}, {'year': 1988, 'eg': 0.10435054102165019}, {'year': 1990, 'eg': 0.4048950791055601}]"
515,Donald Joseph Albosta,democrat,Michigan,10,candidate,"[{'year': 1978, 'le': 0.34402685}]","[{'year': 1978, 'eg': -0.4703832658130366}]"
516,Robert W. Davis,republican,Michigan,11,candidate,"[{'year': 1978, 'le': 0.110084485}, {'year': 1988, 'le': 0.7648013229999999}, {'year': 1990, 'le': 1.542896051}]","[{'year': 1978, 'eg': 0.40156468207598256}, {'year': 1988, 'eg': 0.30335186237680034}, {'year': 1990, 'eg': 0.2745211125223567}]"
517,Charles C. Diggs,democrat,Michigan,13,candidate,"[{'year': 1978, 'le': 0.0}]","[{'year': 1978, 'eg': 0.0839980192066215}]"
518,Arlen Erdahl,republican,Minnesota,1,candidate,"[{'year': 1978, 'le': 0.120877082}, {'year': 1980, 'le': 0.315229029}]","[{'year': 1978, 'eg': 0.3631238867140648}, {'year': 1980, 'eg': 0.06448108062756942}]"
519,Martin Olav Sabo,democrat,Minnesota,5,candidate,"[{'year': 1978, 'le': 0.075548176}, {'year': 1980, 'le': 0.07374615}, {'year': 1982, 'le': 0.040929202000000005}, {'year': 1984, 'le': 0.046211361}, {'year': 1986, 'le': 0.015501721000000001}, {'year': 1996, 'le': 0.0904039}]","[{'year': 1978, 'eg': -0.2534792333788846}, {'year': 1980, 'eg': -0.06631380590810841}, {'year': 1982, 'eg': -0.13805096616966975}, {'year': 1984, 'eg': -0.06493743682095802}, {'year': 1986, 'eg': -0.032224804651130715}, {'year': 1996, 'eg': -0.14172231457358733}]"
520,Arlan Stangeland,republican,Minnesota,7,candidate,"[{'year': 1978, 'le': 0.105767446}, {'year': 1980, 'le': 0.20225829}, {'year': 1982, 'le': 0.506792963}, {'year': 1984, 'le': 0.467073818}, {'year': 1986, 'le': 0.24052389}, {'year': 1988, 'le': 0.200785771}]","[{'year': 1978, 'eg': 0.4344445953286257}, {'year': 1980, 'eg': 0.45732749804139505}, {'year': 1982, 'eg': 0.4944685949952628}, {'year': 1984, 'eg': 0.35911948623326395}, {'year': 1986, 'eg': 0.49936596500126806}, {'year': 1988, 'eg': 0.0}]"
521,David Bowen,democrat,Mississippi,2,candidate,"[{'year': 1978, 'le': 0.71829055}]","[{'year': 1978, 'eg': -0.265041538198013}]"
522,Jon Clifton Hinson,republican,Mississippi,4,candidate,"[{'year': 1978, 'le': 0.075548176}]","[{'year': 1978, 'eg': 0.24732086095722458}]"
523,Pat Williams,democrat,Montana,1,candidate,"[{'year': 1978, 'le': 0.40014835299999996}, {'year': 1980, 'le': 0.37884728100000004}, {'year': 1982, 'le': 0.955363333}, {'year': 1984, 'le': 6.925157305}, {'year': 1986, 'le': 4.553114891}, {'year': 1988, 'le': 4.232950687}, {'year': 1990, 'le': 2.2507630709999997}, {'year': 1992, 'le': 3.9769625939999997}, {'year': 1994, 'le': 0.961246073}]","[{'year': 1978, 'eg': -0.35395945612854657}, {'year': 1980, 'eg': -0.27146511374768695}, {'year': 1982, 'eg': -0.27515781434589087}, {'year': 1984, 'eg': -0.16294998242458078}, {'year': 1986, 'eg': -0.26667021429778814}, {'year': 1988, 'eg': -0.2845247070111713}, {'year': 1990, 'eg': -0.27734008742983085}, {'year': 1992, 'eg': -0.4649770270102914}, {'year': 1994, 'eg': -0.435660673665916}]"
524,Ron Marlenee,republican,Montana,2,candidate,"[{'year': 1978, 'le': 0.34752161}, {'year': 1980, 'le': 1.102104778}, {'year': 1984, 'le': 1.001229764}, {'year': 1986, 'le': 1.31389761}, {'year': 1988, 'le': 0.540948093}, {'year': 1990, 'le': 0.26485169}]","[{'year': 1978, 'eg': 0.3627726160635216}, {'year': 1980, 'eg': 0.318735021091595}, {'year': 1984, 'eg': 0.18154834054020533}, {'year': 1986, 'eg': 0.43066508148307414}, {'year': 1988, 'eg': 0.3895085852313512}, {'year': 1990, 'eg': 0.24078256782515603}]"
525,Douglas K. Bereuter,republican,Nebraska,1,candidate,"[{'year': 1978, 'le': 0.075548176}]","[{'year': 1978, 'eg': 0.3373629083394002}]"
526,Frank Thompson Jr.,democrat,New Jersey,4,candidate,"[{'year': 1978, 'le': 5.136599983}]","[{'year': 1978, 'eg': -0.2581185726129368}]"
527,Millicent H. Fenwick,republican,New Jersey,5,candidate,"[{'year': 1978, 'le': 0.146779313}]","[{'year': 1978, 'eg': 0.04892795667173219}]"
528,Peter W. Rodino Jr.,democrat,New Jersey,10,candidate,"[{'year': 1978, 'le': 11.30360567}, {'year': 1980, 'le': 12.408702900000002}, {'year': 1984, 'le': 6.986218942000001}, {'year': 1986, 'le': 5.746471405}]","[{'year': 1978, 'eg': 0.23705254245260832}, {'year': 1980, 'eg': 0.22132892599025156}, {'year': 1984, 'eg': 0.17338818857366348}, {'year': 1986, 'eg': 0.0}]"
529,James A. Courter,republican,New Jersey,13,candidate,"[{'year': 1978, 'le': 0.043170386}]","[{'year': 1978, 'eg': 0.4631678838970149}]"
530,Frank J. Guarini,democrat,New Jersey,14,candidate,"[{'year': 1978, 'le': 0.317302339}, {'year': 1980, 'le': 2.166661861}, {'year': 1982, 'le': 1.967782497}, {'year': 1984, 'le': 1.710049154}, {'year': 1986, 'le': 0.6863562459999999}, {'year': 1988, 'le': 0.48450788899999997}, {'year': 1990, 'le': 1.006140997}]","[{'year': 1978, 'eg': -0.06662236567305867}, {'year': 1980, 'eg': -0.19491950967360802}, {'year': 1982, 'eg': 0.019430358750770104}, {'year': 1984, 'eg': -0.1755394739094951}, {'year': 1986, 'eg': -0.06029990249806677}, {'year': 1988, 'eg': -0.13282180782180783}, {'year': 1990, 'eg': -0.12962615507293962}]"
531,Manuel Lujan Jr.,republican,New Mexico,1,candidate,"[{'year': 1978, 'le': 2.588341752}, {'year': 1980, 'le': 2.989599205}, {'year': 1984, 'le': 0.21351198600000001}, {'year': 1986, 'le': 0.396445751}]","[{'year': 1978, 'eg': 0.2494492575568218}, {'year': 1980, 'eg': 0.4797174378983279}, {'year': 1984, 'eg': 0.19043186686254499}, {'year': 1986, 'eg': 0.0821032342986085}]"
532,William Carney,republican,New York,1,candidate,"[{'year': 1978, 'le': 0.393728733}, {'year': 1980, 'le': 0.036873075}, {'year': 1982, 'le': 0.572951555}, {'year': 1984, 'le': 0.030807574}]","[{'year': 1978, 'eg': 0.44753564205637814}, {'year': 1980, 'eg': 0.4705750026896707}, {'year': 1982, 'eg': 0.33198208968200493}, {'year': 1984, 'eg': 0.459306478817343}]"
533,Jerome A. Ambro,democrat,New York,3,candidate,"[{'year': 1978, 'le': 1.6768536090000001}]","[{'year': 1978, 'eg': -0.3845027763755679}]"
534,Lester Wolff,democrat,New York,6,candidate,"[{'year': 1978, 'le': 0.425228305}]","[{'year': 1978, 'eg': -0.2738882367799355}]"
535,Geraldine A. Ferraro,democrat,New York,9,candidate,"[{'year': 1978, 'le': 0.043170386}]","[{'year': 1978, 'eg': -0.2968814288879277}]"
536,S. William Green,republican,New York,18,candidate,"[{'year': 1978, 'le': 0.437559188}]","[{'year': 1978, 'eg': 0.4165274144583162}]"
537,Ted S. Weiss,democrat,New York,20,candidate,"[{'year': 1978, 'le': 0.871729195}]","[{'year': 1978, 'eg': 0.10300779603876949}]"
538,Robert Garcia,democrat,New York,21,candidate,"[{'year': 1978, 'le': 0.5295316760000001}, {'year': 1980, 'le': 0.6404706960000001}, {'year': 1982, 'le': 0.187491849}, {'year': 1984, 'le': 1.849451583}, {'year': 1986, 'le': 0.602406681}, {'year': 1988, 'le': 0.071709201}]","[{'year': 1978, 'eg': 0.2817497648165569}, {'year': 1980, 'eg': 0.3500824226143232}, {'year': 1982, 'eg': 0.31822280799112096}, {'year': 1984, 'eg': 0.25044639149572295}, {'year': 1986, 'eg': 0.30583780985049513}, {'year': 1988, 'eg': 0.31339753336712284}]"
539,Peter A. Peyser,democrat,New York,23,candidate,"[{'year': 1978, 'le': 0.11871856199999999}, {'year': 1980, 'le': 0.18436537600000003}]","[{'year': 1978, 'eg': -0.3655850418442585}, {'year': 1980, 'eg': -0.29752163650668767}]"
540,Hamilton Fish Jr.,republican,New York,25,candidate,"[{'year': 1978, 'le': 0.276290472}, {'year': 1980, 'le': 0.33923229200000005}, {'year': 1984, 'le': 0.993360175}, {'year': 1986, 'le': 1.365733981}, {'year': 1990, 'le': 0.134333136}]","[{'year': 1978, 'eg': -0.06933932970730143}, {'year': 1980, 'eg': -0.00558569572858562}, {'year': 1984, 'eg': 0.026171284264928277}, {'year': 1986, 'eg': 0.042763330509681625}, {'year': 1990, 'eg': 0.20203505393413398}]"
541,Gerald B. H. Solomon,republican,New York,29,candidate,"[{'year': 1978, 'le': 0.346402142}, {'year': 1980, 'le': 0.611691279}, {'year': 1988, 'le': 0.928356409}, {'year': 1990, 'le': 0.8108680979999999}, {'year': 1992, 'le': 0.8147549620000001}, {'year': 1994, 'le': 2.8255724910000004}, {'year': 1996, 'le': 4.330459118}]","[{'year': 1978, 'eg': 0.4453976973559219}, {'year': 1980, 'eg': 0.22404487396857692}, {'year': 1988, 'eg': 0.1353674840876081}, {'year': 1990, 'eg': 0.31196913019983524}, {'year': 1992, 'eg': 0.324208424723019}, {'year': 1994, 'eg': 0.19131945035672326}, {'year': 1996, 'eg': 0.40491132230223403}]"
542,Gary A. Lee,republican,New York,33,candidate,"[{'year': 1978, 'le': 0.043170386}, {'year': 1980, 'le': 0.257024278}]","[{'year': 1978, 'eg': 0.3357860756574932}, {'year': 1980, 'eg': 0.029032184445801072}]"
543,Frank Horton,republican,New York,34,candidate,"[{'year': 1978, 'le': 0.285227894}, {'year': 1980, 'le': 0.17699076100000002}, {'year': 1982, 'le': 0.951007962}, {'year': 1984, 'le': 0.624699214}, {'year': 1986, 'le': 0.5466173289999999}, {'year': 1988, 'le': 0.274768114}, {'year': 1990, 'le': 0.8579870909999999}]","[{'year': 1978, 'eg': 0.49023504030884524}, {'year': 1980, 'eg': -0.021863289477283294}, {'year': 1982, 'eg': 0.13783904098699482}, {'year': 1984, 'eg': 0.046667203592030686}, {'year': 1986, 'eg': 0.035423522069669804}, {'year': 1988, 'eg': 0.0776830806442404}, {'year': 1990, 'eg': 0.16000062650753374}]"
544,Barber B. Conable,republican,New York,35,candidate,"[{'year': 1978, 'le': 0.48566684600000004}]","[{'year': 1978, 'eg': 0.06931446754165073}]"
545,Jack Kemp,republican,New York,38,candidate,"[{'year': 1978, 'le': 0.49512320200000004}]","[{'year': 1978, 'eg': 0.0}]"
546,Walter Jones,democrat,North Carolina,1,candidate,"[{'year': 1978, 'le': 0.086073525}]","[{'year': 1978, 'eg': 0.10216491186560984}]"
547,Charles Whitely,democrat,North Carolina,3,candidate,"[{'year': 1978, 'le': 0.021585193}]","[{'year': 1978, 'eg': -0.07832693663350826}]"
548,Stephen L. Neal,democrat,North Carolina,5,candidate,"[{'year': 1978, 'le': 1.6739053480000001}, {'year': 1980, 'le': 0.635374468}, {'year': 1988, 'le': 0.290641934}, {'year': 1990, 'le': 0.318827048}, {'year': 1992, 'le': 1.3472780619999998}]","[{'year': 1978, 'eg': -0.41636927973278504}, {'year': 1980, 'eg': -0.4782749642375655}, {'year': 1988, 'eg': -0.4477520280306204}, {'year': 1990, 'eg': -0.3178966665108719}, {'year': 1992, 'eg': -0.42959679546501073}]"
549,Charles Rose,democrat,North Carolina,7,candidate,"[{'year': 1978, 'le': 0.444431846}, {'year': 1988, 'le': 0.306920201}]","[{'year': 1978, 'eg': -0.10244397595065198}, {'year': 1988, 'eg': -0.15492916116573727}]"
550,James T. Broyhill,republican,North Carolina,10,candidate,"[{'year': 1978, 'le': 1.03316112}, {'year': 1980, 'le': 1.0791071840000002}]","[{'year': 1978, 'eg': 0.0}, {'year': 1980, 'eg': 0.10585125416998534}]"
551,Willis D. Gradison Jr.,republican,Ohio,1,candidate,"[{'year': 1978, 'le': 0.609396891}, {'year': 1980, 'le': 0.345519659}, {'year': 1984, 'le': 0.123230295}, {'year': 1986, 'le': 1.1087363959999998}, {'year': 1990, 'le': 0.149407475}]","[{'year': 1978, 'eg': 0.19411136122765374}, {'year': 1980, 'eg': -0.014803225418221206}, {'year': 1984, 'eg': 0.12802982792637319}, {'year': 1986, 'eg': 0.085129520769785}, {'year': 1990, 'eg': 0.2116503890495278}]"
552,Tony P. Hall,democrat,Ohio,3,candidate,"[{'year': 1978, 'le': 0.023743712}, {'year': 1980, 'le': 0.049164099999999995}, {'year': 1982, 'le': 0.070943952}, {'year': 1984, 'le': 0.092422721}, {'year': 1986, 'le': 0.077508606}, {'year': 1988, 'le': 1.047849894}, {'year': 1990, 'le': 1.4797879040000002}, {'year': 1992, 'le': 0.280870843}, {'year': 1994, 'le': 0.355973274}, {'year': 1996, 'le': 0.180807799}, {'year': 1998, 'le': 0.7703041429999999}, {'year': 2000, 'le': 0.093641981}]","[{'year': 1978, 'eg': -0.40569672271497553}, {'year': 1980, 'eg': -0.32705595407175686}, {'year': 1982, 'eg': 0.0}, {'year': 1984, 'eg': 0.0}, {'year': 1986, 'eg': -0.0269407692653471}, {'year': 1988, 'eg': 0.03780529420367572}, {'year': 1990, 'eg': 0.0}, {'year': 1992, 'eg': -0.30663450580243534}, {'year': 1994, 'eg': -0.31409578060971766}, {'year': 1996, 'eg': -0.1969670294846459}, {'year': 1998, 'eg': -0.1136200847385609}, {'year': 2000, 'eg': 0.0}]"
553,Delbert Latta,republican,Ohio,5,candidate,"[{'year': 1978, 'le': 0.19915437}]","[{'year': 1978, 'eg': 0.24765404265909324}]"
554,Thomas Ludlow Ashley,democrat,Ohio,9,candidate,"[{'year': 1978, 'le': 2.491036584}]","[{'year': 1978, 'eg': -0.16956014426136765}]"
555,Lyle Williams,republican,Ohio,19,candidate,"[{'year': 1978, 'le': 0.021585193}, {'year': 1980, 'le': 0.11924460099999999}, {'year': 1982, 'le': 0.08458702300000001}]","[{'year': 1978, 'eg': 0.48652258805782883}, {'year': 1980, 'eg': 0.3385330757878288}, {'year': 1982, 'eg': 0.3987984411605191}]"
556,Mary Rose Oaker,democrat,Ohio,20,candidate,"[{'year': 1978, 'le': 0.25038824}, {'year': 1990, 'le': 2.188069557}]","[{'year': 1978, 'eg': 0.0}, {'year': 1990, 'eg': -0.033053057885596655}]"
557,Michael Lynn Synar,democrat,Oklahoma,2,candidate,"[{'year': 1978, 'le': 0.03237779}]","[{'year': 1978, 'eg': -0.40388565042737623}]"
558,Wesley Wade Watkins,democrat,Oklahoma,3,candidate,"[{'year': 1978, 'le': 0.165938739}]","[{'year': 1978, 'eg': 0.0}]"
559,Michael Myers,democrat,Pennsylvania,1,candidate,"[{'year': 1978, 'le': 0.045328905999999995}]","[{'year': 1978, 'eg': -0.04190490624268059}]"
560,William H. Gray III,democrat,Pennsylvania,2,candidate,"[{'year': 1978, 'le': 0.03237779}, {'year': 1980, 'le': 0.07934803900000001}, {'year': 1984, 'le': 2.712224412}, {'year': 1988, 'le': 0.03155205}, {'year': 1990, 'le': 0.040747492999999996}]","[{'year': 1978, 'eg': 0.1602909266254119}, {'year': 1980, 'eg': 0.0}, {'year': 1984, 'eg': 0.3273406114528246}, {'year': 1988, 'eg': 0.3742621525571085}, {'year': 1990, 'eg': 0.3419018130124048}]"
561,Charles F. Dougherty,republican,Pennsylvania,4,candidate,"[{'year': 1978, 'le': 0.03237779}, {'year': 1980, 'le': 0.049164099999999995}]","[{'year': 1978, 'eg': 0.3843989898989899}, {'year': 1980, 'eg': 0.2339275959676218}]"
562,R. Lawrence Coughlin,republican,Pennsylvania,13,candidate,"[{'year': 1978, 'le': 0.06475557900000001}]","[{'year': 1978, 'eg': 0.0899025409415621}]"
563,Donald Lawrence Ritter,republican,Pennsylvania,15,candidate,"[{'year': 1978, 'le': 0.09065781099999999}]","[{'year': 1978, 'eg': 0.43625819140275507}]"
564,Doug Walgren,democrat,Pennsylvania,18,candidate,"[{'year': 1978, 'le': 0.503629444}, {'year': 1980, 'le': 0.965344275}, {'year': 1982, 'le': 1.791535378}, {'year': 1984, 'le': 0.400236882}, {'year': 1986, 'le': 5.492597103}, {'year': 1988, 'le': 2.947128057}]","[{'year': 1978, 'eg': -0.34993954910746033}, {'year': 1980, 'eg': -0.13092211817957547}, {'year': 1982, 'eg': -0.4074077034148005}, {'year': 1984, 'eg': -0.23958547354385318}, {'year': 1986, 'eg': -0.23991701345204683}, {'year': 1988, 'eg': -0.243931016806415}]"
565,Donald A. Bailey,democrat,Pennsylvania,21,candidate,"[{'year': 1978, 'le': 0.015109635}]","[{'year': 1978, 'eg': -0.44194525385046}]"
566,William F. Clinger Jr.,republican,Pennsylvania,23,candidate,"[{'year': 1978, 'le': 0.036694828}, {'year': 1990, 'le': 0.430572836}]","[{'year': 1978, 'eg': 0.4144537304135676}, {'year': 1990, 'eg': 0.3122123140960396}]"
567,Eugene V. Atkinson,democrat,Pennsylvania,25,candidate,"[{'year': 1978, 'le': 0.34402685}, {'year': 1980, 'le': 0.100786406}]","[{'year': 1978, 'eg': -0.4582709529901734}, {'year': 1980, 'eg': -0.15815718005431587}]"
568,Fernand St Germain,democrat,Rhode Island,1,candidate,"[{'year': 1978, 'le': 1.0270531090000001}]","[{'year': 1978, 'eg': -0.27516233766233766}]"
569,Butler Derrick,democrat,South Carolina,3,candidate,"[{'year': 1978, 'le': 0.075548176}, {'year': 1980, 'le': 0.153094189}, {'year': 1982, 'le': 0.15747709599999998}, {'year': 1984, 'le': 1.04081638}, {'year': 1986, 'le': 0.628573298}, {'year': 1988, 'le': 0.392976046}, {'year': 1990, 'le': 0.125634596}, {'year': 1992, 'le': 1.095570695}]","[{'year': 1978, 'eg': 0.1374934271730777}, {'year': 1980, 'eg': -0.29651250017048786}, {'year': 1982, 'eg': 0.0}, {'year': 1984, 'eg': -0.32139899846220576}, {'year': 1986, 'eg': -0.13163991251955776}, {'year': 1988, 'eg': -0.41859490426654605}, {'year': 1990, 'eg': -0.33893642542982805}, {'year': 1992, 'eg': -0.27698292142212005}]"
